title,text,label
الأمم المتحدة تدعو إلى وقف فوري لإطلاق النار في منطقة نزاع محدودة,أصدر المكتب الإعلامي باسم الأمين العام بيانا جاء فيه أن المنظمة تعمل مع الأطراف المعنية على تيسير حوار يركز على حماية المدنيين وتدفق المساعدات الإنسانية وفق القانون الدولي.,1
وزارة التربية تعلن موعد امتحانات الدورة الربيعية لجميع الأسلاك,أوضحت الوزارة في بلاغ أن الامتحانات ستنطلق وفق الجدولة المعتمدة وأن المراكز ستتلقى تعليمات لوجستية موحدة لضمان سير الاختبارات بانضباط.,1
المندوبية السامية للتخطيط تنشر مؤشرات مبدئية حول النشاط الاقتصادي للربع الأخير,تضمنت النشرة ملخصا للقطاعات الرئيسية مع الإشارة إلى أن الأرقام قابلة للمراجعة عند اكتمال المصادر الإحصائية الرسمية.,1
الطقس: زخات محلية ورياح معتدلة على السواحل خلال نهاية الأسبوع,توقعت المديرية العامة للأرصاد الجوية أن تبقى الحرارة دون معدلاتها الموسمية في بعض الجهات مع تحسن تدريجي يوم الاثنين.,1
فريق محلي يحقق التعادل أمام ضيفه في مباراة مؤجلة من الدوري,انتهت المباراة بهدف لكل فريق بعد شوطين متقاربي المستوى وسجل المدربون ارتياحا لتصحيح بعض الهفوات الدفاعية قبل لقاء الإياب.,1
شركة اتصالات تطلق خدمة إنترنت منزلي بتقنية الألياف في عدد من الأحياء,أوضحت الشركة أن الاشتراك يخضع لتوفر البنية التحتية وأن فرق الدعم ستتابع تركيب المعدات وفق مواعيد محددة.,1
المتحف الوطني يستقبل زوارا مجانين يوم افتتاح القاعة المؤقتة للخط المغربي,أعلنت إدارة المتحف أن الزيارة تتضمن جولة إرشادية قصيرة وقيودا على عدد المجموعات لضمان سلامة القطع المعروضة.,1
جامعة تنظم ملتقى علميا حول الذكاء الاصطناعي في التعليم العالي,يشارك باحثون من عدة تخصصات في جلسات نقاش تتناول الأخلاقيات وحماية البيانات والتجارب المحلية المحدودة النطاق.,1
السلطات المحلية تشرع في تعبيد شارع رئيسي بعد انتهاء دراسة المرور,قالت الجماعة إن الاشغال ستنفذ على مراحل مع إشارات بديلة وإعلام مسبق للسكان والتجار حول المسارات البديلة.,1
القطاع الفلاحي: إنتاج الحبوب يشهد تحسنا طفيفا مقارنة بالموسم السابق,أشار تقرير وزاري إلى أن التساقطات المطرية والتوقيت المناسب للبذار ساهما في نتائج إيجابية رغم بعض الجفاف المحلي.,1
وزارة الصحة: لا إصابات جديدة مؤكدة بمرض معدٍ في المناطق الرصدية,أكدت الوزارة متابعة الفرق الطبية للحالات المشتبهة ودعت المواطنين إلى الالتزام بالوقاية المعتادة دون ذعر.,1
